Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Rating,Genre
2020,0,Movie,Andy Daniluc,No Festival,Andy Daniluc,1,9.7,MUSIC
2013,0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,9.2,ANIMATION
2021,0,Series,Earl Crowe,Im Sorry,Earl Crowe,1,9.2,DOCUMENTARY
2013,0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,9.2,COMEDY
2013,0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,9.2,ADVENTURE
2013,0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,9.2,SCI-FI
2010,0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,9.1,THRILLER
2014,0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,9.1,ANIMATION
2010,0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,9.1,CRIME
2010,0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,9.1,MYSTERY
2014,0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,9.1,FAMILY
2014,0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,9.1,COMEDY
2019,0,Movie,"Paola Boncompagni, Rosa Russo",One Girl,Paola Boncompagni,1,9.1,DOCUMENTARY
2010,0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,9.1,DRAMA
2017,0,Series,Kenneth Michiels,Stranger,Kenneth Michiels,1,9,DRAMA
